root_id,super_class,cell_class,cell_type,top_nt,top_nt_conf,side,nerve
720575940640302926,optic,ME>LO.LOP,TmY5a,glutamate,0.632836256363704,right,
720575940640321165,optic,ME>LO.LOP,TmY5a,glutamate,0.6655832619715629,right,
720575940622687757,optic,LO>LOP,T5b,acetylcholine,0.6029598690474917,right,
720575940622693119,optic,LO>LOP,T5b,acetylcholine,0.6050102129655314,right,
720575940622788195,optic,ME>LOP,T4b,acetylcholine,0.6900451178980659,right,
720575940626745118,optic,ME>LO.LOP,TmY5a,glutamate,0.7276424954054794,right,
720575940626867655,optic,ME>LO.LOP,TmY5a,glutamate,0.768833220371141,right,
720575940638199273,optic,ME>LO.LOP,TmY5a,glutamate,0.7376824604815961,right,
720575940638256612,optic,ME>LO.LOP,TmY5a,glutamate,0.6849356465681399,right,
720575940631295483,optic,LO>LOP,T5b,acetylcholine,0.5262936717860011,right,
720575940631306538,optic,LO>LOP,T5b,acetylcholine,0.5775759484185009,right,
720575940631310351,optic,LO>LOP,T5b,acetylcholine,0.583460610542071,right,
720575940612330446,optic,ME>LO.LOP,TmY5a,glutamate,0.6117932797430814,right,
720575940626458412,optic,ME>LOP,T4b,acetylcholine,0.5967980656800124,right,
720575940626481964,optic,ME>LOP,T4b,acetylcholine,0.5735892452508325,right,
720575940626492188,optic,ME>LO.LOP,TmY5a,glutamate,0.719477113058765,right,
720575940622867453,optic,ME>LO.LOP,TmY5a,glutamate,0.6162891849543581,right,
720575940622951779,optic,LOP>LO.ME,Y12,glutamate,0.6674421770400167,right,
720575940622639715,optic,LO>LOP,T5b,acetylcholine,0.6637660445741604,right,
720575940623010345,optic,ME>LOP,T4b,acetylcholine,0.6602872870423268,right,
720575940632388968,optic,ME>LO.LOP,TmY5a,glutamate,0.6301740600096802,right,
720575940626512837,optic,ME>LOP,T4b,acetylcholine,0.6063101448537969,right,
720575940626565852,optic,LO>LOP,T5b,acetylcholine,0.528671311140839,right,
720575940626094794,optic,ME>LOP,T4b,acetylcholine,0.6766824253544605,right,
720575940612861649,optic,LO>LOP,T5b,acetylcholine,0.652802819329693,right,
720575940612881578,optic,ME>LO.LOP,TmY5a,glutamate,0.660514932330851,right,
720575940612891670,optic,ME>LO.LOP,TmY5a,glutamate,0.6311215568020799,right,
720575940631235343,optic,LO>LOP,T5b,acetylcholine,0.6243492530043986,right,
720575940631856451,optic,LO>LOP,T5b,acetylcholine,0.6806384018988633,right,
720575940632919379,optic,ME>LO.LOP,TmY5a,glutamate,0.609348863881412,right,
720575940632433000,optic,ME>LOP,T4b,acetylcholine,0.5982791292266116,right,
720575940632452909,optic,LO>LOP,T5b,acetylcholine,0.6075680949763677,right,
720575940623100906,optic,ME>LOP,T4b,acetylcholine,0.4827750944152256,right,
720575940630893330,optic,ME>LO.LOP,TmY5a,glutamate,0.6869231456047429,right,
720575940630935803,optic,ME>LO.LOP,TmY5a,glutamate,0.6789041267035448,right,
720575940630941714,optic,LO>LOP,T5b,acetylcholine,0.5113943802483147,right,
720575940639037006,optic,LO>LOP,T5b,acetylcholine,0.621299123294901,right,
720575940626149680,optic,ME>LO.LOP,TmY5a,glutamate,0.5499459617908354,right,
720575940626161922,optic,LO>LOP,T5b,acetylcholine,0.6955604276959839,right,
720575940626210844,optic,LO>LOP,T5b,acetylcholine,0.5172571390016902,right,
720575940626240514,optic,LO>LOP,T5b,acetylcholine,0.4084941433187369,right,
720575940625929872,optic,ME>LOP,T4b,acetylcholine,0.6845872942776392,right,
720575940625958444,optic,ME>LOP,T4b,acetylcholine,0.5517411938295588,right,
720575940623164307,optic,LO>LOP,T5b,acetylcholine,0.5213790482310842,right,
720575940614397334,optic,ME>LO.LOP,TmY5a,glutamate,0.5502737512197935,right,
720575940644397092,optic,ME>LOP,T4b,acetylcholine,0.5783279145429469,right,
720575940644497943,optic,ME>LO.LOP,TmY5a,glutamate,0.7070414157389032,right,
720575940622945041,optic,ME>LOP,T4b,acetylcholine,0.7100082950574738,right,
720575940623746282,optic,ME>LO.LOP,TmY5a,glutamate,0.6087455691813741,right,
720575940644526024,optic,LO>LOP,T5b,acetylcholine,0.5011582661912172,right,
720575940623571383,optic,LO>LOP,T5b,acetylcholine,0.5186576006599308,right,
720575940623189130,optic,ME>LO.LOP,TmY5a,glutamate,0.7452503904874488,right,
720575940623189272,optic,ME>LO.LOP,TmY5a,glutamate,0.5971812688564057,right,
720575940623271914,optic,ME>LOP,T4b,acetylcholine,0.5876983272311217,right,
720575940623272268,optic,ME>LO.LOP,TmY5a,glutamate,0.6962950873686027,right,
720575940623289162,optic,ME>LOP,T4b,acetylcholine,0.649335704487902,right,
720575940623324630,optic,ME>LO.LOP,TmY5a,glutamate,0.6702599616359975,right,
720575940640522840,optic,LOP,LPi04,glutamate,0.6146135582659813,right,
720575940632454957,optic,LO>LOP,T5b,acetylcholine,0.6483624549885629,right,
720575940632509552,optic,ME>LOP,T4b,acetylcholine,0.6014472223016044,right,
720575940632534988,optic,LO>LOP,T5b,acetylcholine,0.5148981523262757,right,
720575940632547143,optic,ME>LO.LOP,TmY5a,glutamate,0.7112017800020072,right,
720575940639532240,optic,ME>LO.LOP,TmY5a,glutamate,0.6368729083133178,right,
720575940639564870,optic,ME>LOP,T4b,acetylcholine,0.637335062620168,right,
720575940639610019,optic,ME>LO.LOP,TmY5a,glutamate,0.6552974930382073,right,
720575940639761011,optic,ME>LO.LOP,TmY5a,glutamate,0.6294878945187091,right,
720575940623681672,optic,ME>LO.LOP,TmY5a,glutamate,0.5858615824606578,right,
720575940625968228,optic,LO>LOP,T5b,acetylcholine,0.50185604995466,right,
720575940625974572,optic,ME>LOP,T4b,acetylcholine,0.5040189799701217,right,
720575940646792739,optic,LO>LOP,T5b,acetylcholine,0.6203829941915316,right,
